municipio,area,população,escolarizacao,idhm,receitas,pib_percapita,salario_medio_mensal
Quixaba,210705,6796,99.2,577,26460.00167,8277.42,1.8
Recife,218843,1661017,97.1,772,4863813.57332,33232.26,3.2
Riacho das Almas,314003,20744,93.4,0.57,52372.07858,9394.09,1.6
Ribeirão,289733,47813,92.9,602,82797.04627,9786.27,1.9
Rio Formoso,227458,23719,89.5,613,60428.06973,11492.0,1.4
Sairé,190455,9600,97.7,585,27782.41166,13749.38,1.8
Salgadinho,87217,11214,87.6,534,25270.5575,6563.78,1.7
Salgueiro,1678564,61561,96.7,669,123973.69438,16052.17,1.9
Saloá,251549,15880,97.4,559,41419.13746,8277.69,1.4
Sanharó,268686,27308,93.2,603,45919.49208,8014.9,1.8
Santa Cruz,1245983,15713,97.5,549,38314.62005,7884.29,1.6
Santa Cruz da Baixa Verde,114932,12708,97.8,612,33046.6343,7789.42,1.7
Santa Cruz do Capibaribe,335309,111812,95.7,648,171093.0329,14680.05,1.3
Santa Filomena,1005341,14645,97.0,533,38229.65699,6988.2,1.7
Santa Maria da Boa Vista,3000774,42266,97.4,0.59,111225.08365,15507.98,2.3
Santa Maria do Cambucá,92148,14308,96.4,548,30854.90134,7844.61,1.8
Santa Terezinha,200327,11914,97.8,593,29395.25562,7677.92,1.6
São Benedito do Sul,160477,16239,83.7,0.53,32839.95674,6490.85,1.7
São Bento do Una,719148,60567,93.0,593,117545.24283,21797.56,1.6
São Caitano,382483,37488,97.2,591,65800.72051,10128.36,1.5
São João,258334,23002,96.3,0.57,55297.47295,10476.3,1.5
São Joaquim do Monte,232.07,21439,94.2,537,50888.58426,7899.93,1.8
São José da Coroa Grande,69184,21868,95.8,608,50301.54464,11324.82,1.5
São José do Belmonte,1474086,34082,96.2,0.61,64494.89618,8557.63,1.7
São José do Egito,780852,34210,98.9,635,73405.26229,12071.71,1.7
São Lourenço da Mata,264.19,114910,97.1,653,163986.12606,11121.96,1.8
São Vicente Férrer,113985,18150,95.2,549,45895.15197,15171.75,1.7
Serra Talhada,2980007,87467,96.7,661,193463.69766,17848.2,1.6
Serrita,1535.19,19226,98.1,595,49139.0361,7220.7,1.4
Sertânia,2421527,36189,94.6,613,76416.70195,15339.13,2.1
Sirinhaém,374321,46845,94.1,597,93842.43833,11367.75,1.9
Moreilândia,404287,11269,96.8,0.6,32639.96161,7504.18,1.5
Solidão,138398,6034,96.9,585,22765.32282,7655.82,1.7
Surubim,252896,66192,97.8,635,110620.90318,12455.57,1.5
Tabira,390434,28860,97.2,605,54035.70347,9818.65,1.7
Tacaimbó,227601,12843,94.4,554,28542.71907,15517.9,1.6
Tacaratu,1264532,26439,96.3,573,51205.88989,7067.31,1.4
Tamandaré,213.75,23852,95.5,593,65049.79581,13636.78,1.3
Taquaritinga do Norte,475184,29472,96.2,641,50818.96774,10372.42,1.4
Terezinha,151.45,7227,95.7,545,21604.02366,9190.63,1.7
Terra Nova,318709,10314,98.2,599,27518.08336,6990.07,1.6
Timbaúba,287683,52587,97.7,618,112343.98832,12722.07,1.5
Toritama,25704,47088,91.5,618,83083.63642,15681.21,1.3
Tracunhaém,137321,13856,97.0,605,30182.22942,9336.03,1.5
Trindade,295765,31103,97.9,595,70901.81336,10581.1,1.7
Triunfo,191518,15232,98.4,0.67,40748.33901,9721.31,1.6
Tupanatinga,950474,27793,96.0,519,58318.85729,7084.04,1.9
Tuparetama,189509,8266,98.6,634,24446.26538,10076.69,1.5
Venturosa,335482,18835,97.5,592,44512.02903,11366.79,1.7
Verdejante,476039,9572,95.0,605,26578.73918,7927.33,1.4
Vertente do Lério,73631,7526,96.7,563,24038.25447,8851.57,1.4
Vertentes,196325,21172,94.1,582,51439.44604,8276.8,1.4
Vicência,228017,32897,95.6,605,80651.40542,14579.38,1.4
Vitória de Santo Antão,335942,140389,96.9,0.64,299853.94132,30154.3,1.8
Xexéu,110815,14789,95.0,552,40117.31428,8628.6,1.9
